Nr;Navn;Antal;procent;årstal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Mathilde;756;24;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Emma;751;24;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sofie;700;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Freja;688;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Laura;688;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Caroline;680;21;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Ida;649;20;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Anna;625;20;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Sara;555;18;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Julie;490;15;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Maja;490;15;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Victoria;471;15;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Clara;454;14;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Emilie;449;14;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Lærke;442;14;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Isabella;417;13;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Josefine;403;13;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Cecilie;394;12;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Amalie;387;12;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Alberte;366;12;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Marie;363;11;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Katrine;360;11;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Sofia;360;11;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Signe;355;11;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Frida;343;11;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Nanna;316;10;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Liva;268;8;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Frederikke;260;8;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Alma;244;8;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Nicoline;244;8;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Mille;241;8;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Malou;236;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Olivia;234;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Astrid;230;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Andrea;228;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Johanne;221;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Maria;217;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Jasmin;211;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Karla;211;7;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Filippa;186;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Rebecca;183;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Camilla;182;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Silje;182;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Tilde;177;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Lea;176;6;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Asta;169;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Naja;165;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Thea;162;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Mia;156;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Sille;156;5;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Lucas;838;25;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Mikkel;800;24;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Noah;765;23;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;William;753;23;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Oliver;746;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Mathias;735;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Magnus;725;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Emil;721;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Frederik;717;22;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Mads;696;21;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
